Fase,Data_inicio_etapa,Data_final_etapa,Etapa,Subetapa,Tarefa,Descricao_operacional,Canal,Responsavel,Aprovador,Dependencia,Data_ancora,Regra_de_data,Recorrencia,Prioridade,Automacao,Ferramenta,Observacoes
Início,13/04,14/04,Onboarding / Concepção,Estratégia,Definir estratégia do lançamento,,meet,Estrategista Senior e Gestor de Projetos,Estrategista Senior,Debriefing do lançamento anterior,Início da etapa,D-0,Não,-,,,
Início,13/04,14/04,Onboarding / Concepção,Estratégia,Definir cronograma do lançamento,,meet,Estrategista Senior e Gestor de Projetos,Estrategista Senior,Debriefing do lançamento anterior,Início da etapa,D-0,Não,-,,,
Início,13/04,14/04,Onboarding / Concepção,Estratégia,Definir datas das etapas,,meet,Estrategista Senior e Gestor de Projetos,Estrategista Senior,Debriefing do lançamento anterior,Início da etapa,D-0,Não,-,,,
Início,13/04,14/04,Onboarding / Concepção,Estratégia,Definir oferta Principal  e posicionamento,,meet,Estrategista Senior e Gestor de Projetos,Estrategista Senior,Debriefing do lançamento anterior,Início da etapa,D-0,Não,-,,,
Início,13/04,14/04,Onboarding / Concepção,Estratégia,Alinhar equipe e responsáveis,,meet,Estrategista Senior e Gestor de Projetos,Estrategista Senior,Debriefing do lançamento anterior,Início da etapa,D-0,Não,-,,,
Início,13/04,14/04,Onboarding / Concepção,Estratégia,Definir Oferta Downsell,,meet,Estrategista Senior e Gestor de Projetos,Estrategista Senior,Debriefing do lançamento anterior,Início da etapa,D-0,Não,,,,
Início,13/04,14/04,Onboarding / Concepção,Estratégia,"Definir/Atualizar Nicho, Avatar e Roma",,meet,Estrategista Senior e Gestor de Projetos,Estrategista Senior,Debriefing do lançamento anterior,Início da etapa,D-0,Não,,,,
Início,13/04,14/04,Onboarding / Concepção,Estratégia,"Definir/Atualizar Produto, Método e Entregáveis",,meet,Estrategista Senior e Gestor de Projetos,Estrategista Senior,Debriefing do lançamento anterior,Início da etapa,D-0,Não,,,,
Execução,16/04,22/04,Distribuição de Conteúdo,Planejamento,Mapear conteúdos C1 vencedores,,Planilha,Gestor de Tráfego,Gestor de Projetos,Planilha de Métricas,Início da etapa,D-1,Não,Alta,Não,-,
Execução,16/04,22/04,Distribuição de Conteúdo,Planejamento,Mapear posts orgânicos com melhor resultado,,Instagram,Social Media,Gestor de Projetos,Planilha de Métricas,Início da etapa,D-1,Não,Média,Não,-,
Execução,16/04,22/04,Distribuição de Conteúdo,Planejamento,A cada 7 dias analisar posts orgânicos com melhor resultado e passar para o gestor de tráfego,,Instagram,Social Media,Gestor de Projetos,Posts publicados,Início da etapa,D+0,A cada 7 dias,Média,Não,Instagram,
Execução,16/04,22/04,Distribuição de Conteúdo,Planejamento,Listar conteúdos C2,,Interno,Estrategista Senior,Gestor de Projetos,-,Início da etapa,D-1,Não,Alta,Não,-,
Execução,16/04,22/04,Distribuição de Conteúdo,Planejamento,Listar conteúdos C3,,Interno,Estrategista Senior,Gestor de Projetos,-,Início da etapa,D-1,Não,Alta,Não,-,
Execução,16/04,22/04,Distribuição de Conteúdo,Planejamento,Listar conteúdos C4,,Interno,Estrategista Senior,Gestor de Projetos,-,Início da etapa,D-1,Não,Alta,Não,-,
Execução,16/04,22/04,Distribuição de Conteúdo,Tráfego,Criar campanha visitar perfil C1 (público frio),,Meta Ads,Gestor de Tráfego,Gestor de Projetos,Conteúdos C1 definidos,Início da etapa,D+0,Não,Alta,Não,Meta Ads,
Execução,16/04,22/04,Distribuição de Conteúdo,Tráfego,Criar campanha engajamento C2 (público 50% C1 + perfil 30D),,Meta Ads,Gestor de Tráfego,Gestor de Projetos,Público C1 criado,Início da etapa,D+7,Não,Alta,Não,Meta Ads,
Execução,16/04,22/04,Distribuição de Conteúdo,Tráfego,Criar campanha engajamento C3 (público C1 + C2),,Meta Ads,Gestor de Tráfego,Gestor de Projetos,Públicos C1 e C2 criados,Início da etapa,D+10,Não,Alta,Não,Meta Ads,
Execução,16/04,22/04,Distribuição de Conteúdo,Tráfego,Criar campanha engajamento C4 (público C1 + C2 + C3),,Meta Ads,Gestor de Tráfego,Gestor de Projetos,"Públicos C1, C2 e C3 criados",Início da etapa,D+15,Não,Alta,Não,Meta Ads,
Execução,16/04,22/04,Distribuição de Conteúdo,Tráfego,Otimizar campanhas de distribuição,,Meta Ads,Gestor de Tráfego,Gestor de Projetos,Campanhas ativas,Início da etapa,D+0,A cada 3 dias,Alta,Não,Meta Ads,
Execução,16/04,22/04,Distribuição de Conteúdo,Métricas,Criar planilha de métricas,,Planilha,Gestor de Projetos,Gestor de Projetos,-,Início da etapa,D+3,Não,Alta,Não,Sheets,
